銘柄コード(Ticker Symbol),銘柄名(Company Name),市場(Market)
SCI,Service Corp International,NYSE
SCS,Steelcase Inc.,NYSE
SIX,Six Flags Entertainment Corp.,NYSE
SNA,Snap-on Inc.,NYSE
SOHO,Sotherly Hotels Inc.,NASDAQ
SPTN,SpartanNash Company,NASDAQ
STAG,STAG Industrial Inc.,NYSE
STI,SunTrust Banks Inc.,NYSE
STLD,Steel Dynamics Inc.,NASDAQ
TBNK,Territorial Bancorp,NASDAQ
THO,Thor Industries Inc.,NYSE
TILE,Interface Inc.,NASDAQ
TRN,Trinity Industries Inc.,NYSE
TRNO,Terreno Realty Corp.,NYSE
TXRH,Texas Roadhouse Inc.,NASDAQ
UDR,UDR Inc.,NYSE
USPH,US Physical Therapy Inc.,NYSE
VLO,Valero Energy Corp.,NYSE
VTR,Ventas Inc.,NYSE
WAFD,Washington Federal Inc.,NASDAQ
WASH,Washington Trust Bancorp Inc.,NASDAQ
WBS,Webster Financial Corp.,NYSE
WCN,Waste Connections Inc.,NYSE
WFC,Wells Fargo & Co.,NYSE
WHR,Whirlpool Corp.,NYSE
WMPN,William Penn Bancorp Inc.,
WOR,Worthington Industries Inc.,NYSE
WPP,WPP plc,NYSE
WSBC,WesBanco Inc.,NASDAQ
WTBA,West Bancorp Inc.,NASDAQ
XYL,Xylem Inc.,NYSE
A,Agilent Technologies Inc.,NYSE
AAPL,Apple Inc.,NASDAQ
AAT,American Assets Trust Inc.,NYSE
ABR,Arbor Realty Trust Inc.,NYSE
AES,AES Corp.,NYSE
AGM,Federal Agricultural Mortgage Corp.,NYSE
AGO,Assured Guaranty Ltd.,NYSE
AON,Aon plc,NYSE
APH,Amphenol Corp.,NYSE
APLO,Apollo Bancorp Inc.,
APOG,Apogee Enterprises Inc.,NASDAQ
AVB,Avalonbay Communities Inc.,NYSE
AYR,Aircastle Limited,NYSE
B,Barnes Group Inc.,NYSE
BA,Boeing Company,NYSE
BAH,Booz Allen Hamilton Holding Corp.,NYSE
BAM,Brookfield Asset Management Inc.,NYSE
BGS,B&G Foods Inc.,NYSE
BSET,Bassett Furniture Industries Inc.,NASDAQ
CAKE,Cheesecake Factory Inc.,NASDAQ
CBT,Cabot Corp.,NYSE
CCOI,Cogent Communications Holdings Inc.,NASDAQ
CFFI,C&F Financial Corp.,NASDAQ
CHDN,Churchill Downs Inc.,NASDAQ
CIVB,Civista Bancshares Inc.,NASDAQ
CNO,CNO Financial Group Inc.,NYSE
CORE,Core-Mark Holding Company,NASDAQ
CULP,Culp Inc.,NYSE
DGX,Quest Diagnostics Inc.,NYSE
DNKN,Dunkin' Brands Group Inc.,NASDAQ
DOX,Amdocs Limited,NASDAQ
EGP,EastGroup Properties Inc.,NYSE
EQM,EQT Midstream Partners LP,NYSE
EVBN,Evans Bancorp Inc.,AMEX
EXPE,Expedia Inc.,NASDAQ
FCBC,First Community Bancshares Inc.,NASDAQ
FHN,First Horizon Narional Corp.,NYSE
FLXS,Flexsteel Industries Inc.,NASDAQ
FMBH,First Mid-Illinois Bancshares Inc.,NASDAQ
FNF,Fidelity National Financial Inc.,NYSE
FRC,First Republic Bank,NYSE
FRME,First Merchants Corp.,NASDAQ
FUN,Cedar Fair LP,NYSE
GBCI,Glacier Bancorp Inc.,NASDAQ
GEO,GEO Group Inc.,NYSE
GFF,Griffon Corp.,NYSE
HIG,Hartford Financial Services Group Inc.,NYSE
HON,Honeywell International Inc.,NYSE
HPT,Hospitality Properties Trust,NASDAQ
HTA,Healthcare Trust of America Inc.,NYSE
HWBK,Hawthorn Bancshares Inc.,NASDAQ
HY,Hyster-Yale Materials Handling Inc.,NYSE
INGR,Ingredion Inc.,NYSE
IR,Ingersoll-Rand plc,NYSE
KALU,Kaiser Aluminum Corp.,NASDAQ
KIM,Kimco Realty Corp.,NYSE
LKFN,Lakeland Financial Corp.,NASDAQ
LUV,Southwest Airlines Co.,NYSE
LVS,Las Vegas Sands Corp.,NYSE
MA,MasterCard Inc.,NYSE
MATX,Matson Inc.,NYSE
MBWM,Mercantile Bank Corp.,NASDAQ
MDLZ,Mondelez International Inc.,NASDAQ
MKSI,MKS Instruments Inc.,NASDAQ
MLHR,Herman Miller Inc.,NASDAQ
MRK,Merck & Company,NYSE
NDAQ,Nasdaq Inc.,NASDAQ
NI,NiSource Inc.,NYSE
NTRS,Northern Trust Corp.,NASDAQ
OLP,One Liberty Properties Inc.,NYSE
PEG,Public Service Enterprise Group Inc.,NYSE
PKG,Packaging Corp of America,NYSE
PNM,PNM Resources Inc.,NYSE
PPBN,Pinnacle Bankshares Corp.,
PROV,Provident Financial Holdings Inc.,NASDAQ
PSX,Phillips 66,NYSE
RCL,Royal Caribbean Cruises Ltd.,NYSE
RMD,ResMed Inc.,NYSE
SBGI,Sinclair Broadcast Group Inc.,NASDAQ
SBRA,Sabra Health Care REIT Inc.,NASDAQ
SCVL,Shoe Carnival Inc.,NASDAQ
SFNC,Simmons First National Corp.,NASDAQ
SIG,Signet Jewelers Limited,NYSE
SLG,SL Green Realty Corp.,NYSE
SMBC,Southern Missouri Bancorp Inc.,NASDAQ
SOMC,Southern Michigan Bancorp Inc.,
SSB,South State Corp.,NASDAQ
STT,State Street Corp.,NYSE
SXI,Standex International Inc.,NYSE
TCF,TCF Financial Corp.,NASDAQ
TOWN,Towne Bank,NASDAQ
TYBT,Trinity Bank NA,
UMPQ,Umpqua Holdings Corp.,NASDAQ
USB,U.S. Bancorp,NYSE
WAB,Westinghouse Air Brake Technologies Corp.,NYSE
WLTW,Willis Towers Watson plc,NASDAQ
WRI,Weingarten Realty Investors,NYSE
WY,Weyerhaeuser Company,NYSE
XRAY,Dentsply Sirona Inc.,NASDAQ
ABBV,AbbVie Inc.,NYSE
ACC,American Campus Communities,NYSE
ADC,Agree Realty Corp.,NYSE
AGCO,AGCO Corp.,NYSE
AHH,Armada Hoffler Properties Inc.,NYSE
AIMC,Altra Industrial Motion Corp.,NASDAQ
AL,Air Lease Corp.,NYSE
ALK,Alaska Air Group Inc.,NYSE
AMSF,Amerisafe Inc.,NASDAQ
ARGO,Argo Group International Holdings Ltd.,NYSE
ASB,Associated Banc-Corp,NYSE
AVT,Avnet Inc.,NASDAQ
AXP,American Express Company,NYSE
BANR,Banner Corp.,NASDAQ
BORT,Bank of Botetourt,
BPY,Brookfield Property Partners LP,NASDAQ
BSRR,Sierra Bancorp,NASDAQ
BXS,BancorpSouth Inc.,NYSE
CARO,Carolina Financial Corp,NASDAQ
CHCO,City Holding Co.,NASDAQ
CLDB,Cortland Bancorp,NASDAQ
CONE,CyrusOne Inc.,NASDAQ
CPF,Central Pacific Financial Corp.,NYSE
CRI,Carter's Inc.,NYSE
CSGS,CSG Systems International Inc.,NASDAQ
CTO,Consolidated-Tomoka Land Co.,AMEX
CVBF,CVB Financial Corp.,NASDAQ
CVGW,Calavo Growers Inc.,NASDAQ
DAL,Delta Air Lines Inc.,NYSE
DKL,Delek Logistics Partners LP,NYSE
DPZ,Domino's Pizza Inc.,NYSE
EHC,Encompass Health Corp.,NYSE
EXPO,Exponent Inc.,NASDAQ
EXSR,Exchange Bank (Santa Rosa CA),
FBHS,Fortune Brands Home & Security,NYSE
FBIZ,First Business Financial Services Inc.,NASDAQ
FBVA,Farmers Bankshares Inc.,
FCCO,First Community Corp.,NASDAQ
FIX,Comfort Systems USA Inc.,NYSE
FMBI,First Midwest Bancorp,NASDAQ
FMBM,F&M Bank Corp.,
FORR,Forrester Research Inc.,NASDAQ
FR,First Industrial Realty Trust Inc.,NYSE
FSBW,FS Bancorp Inc.,NASDAQ
GABC,German American Bancorp,NASDAQ
GAIN,Gladstone Investment Corp.,NASDAQ
GTY,Getty Realty Corp.,NYSE
HII,Huntington Ingalls Industries Inc.,NYSE
HLAN,Heartland BanCorp,
HOPE,Hope Bancorp Inc.,NASDAQ
HTBK,Heritage Commerce Corp.,NASDAQ
HURC,Hurco Companies Inc.,NASDAQ
ICE,Intercontinental Exchange Inc.,NYSE
IDA,Idacorp Inc.,NYSE
IPG,Interpublic Group of Companies Inc.,NYSE
ISBC,Investors Bancorp,NASDAQ
ITT,ITT Corp.,NYSE
JCI,Johnson Controls International plc,NYSE
KAI,Kadant Inc.,NYSE
KSU,Kansas City Southern,NYSE
LZB,La-Z-Boy Inc.,NYSE
MET,MetLife Inc.,NYSE
MPLX,MPLX LP,NYSE
MTRN,Materion Corp.,NYSE
NFBK,Northfield Bancorp Inc.,NASDAQ
NTAP,NetApp Inc.,NASDAQ
NVDA,NVIDIA Corp.,NASDAQ
NXST,Nexstar Media Group Inc.,NASDAQ
OTEX,Open Text Corp.,NASDAQ
PEBK,Peoples Bancorp of North Carolina,NASDAQ
PNW,Pinnacle West Capital Corp.,NYSE
POWI,Power Integrations Inc.,NASDAQ
PPLL,Peoples Ltd.,
PRIM,Primoris Services Corporation,NASDAQ
PSXP,Phillips 66 Partners LP,NYSE
RF,Regions Financial Corp.,NYSE
RHP,Ryman Hospitality Properties Inc.,NYSE
RJF,Raymond James Financial Inc.,NYSE
RUTH,Ruth's Hospitality Group Inc.,NASDAQ
SBFG,SB Financial Group Inc.,NASDAQ
SGB,Southwest Georgia Financial Corp.,AMEX
SGU,Star Group LP,NYSE
SWM,Schweitzer-Mauduit International Inc.,NYSE
TCBK,TriCo Bancshares,NASDAQ
TEL,TE Connectivity Ltd.,NYSE
TEX,Terex Corp.,NYSE
TRCB,Two River Bancorp,NASDAQ
TRUX,Truxton Corp.,
TSBK,Timberland Bancorp Inc.,NASDAQ
TSN,Tyson Foods Inc.,NYSE
TYPE,Monotype Imaging Holdings Inc.,NASDAQ
UFCS,United Fire Group Inc.,NASDAQ
UFPI,Universal Forest Products Inc.,NASDAQ
UNB,Union Bankshares Inc.,NASDAQ
UNTY,Unity Bancorp Inc.,NASDAQ
WES,Western Midstream Partners LP,NYSE
WTBFA,W.T.B. Financial Corp.,
WTS,Watts Water Technologies Inc.,NYSE
ZION,Zions Bancorp Inc.,NASDAQ
ZTS,Zoetis Inc.,NYSE
ABT,Abbott Laboratories,NYSE
AKR,Acadia Realty Trust,NYSE
ALLE,Allegion plc,NYSE
BAC,Bank of America Corp,NYSE
BC,Brunswick Corp.,NYSE
BFS,Saul Centers Inc.,NYSE
BPFH,Boston Private Financial Holdings Inc.,NASDAQ
BRX,Brixmor Property Group,NYSE
BUSE,First Busey Corp.,NASDAQ
BWA,BorgWarner Inc.,NYSE
CATY,Cathay General Bancorp,NASDAQ
CCBG,Capital City Bank Group,NASDAQ
CDW,CDW Corp.,NASDAQ
CFG,Citizens Financial Group Inc.,NYSE
CTRE,CareTrust REIT Inc.,NASDAQ
CWBC,Community West Bancshares,NASDAQ
CZWI,Citizens Community Bancorp Inc.,NASDAQ
DHR,Danaher Corp.,NYSE
EVC,Entravision Communications Corp.,NYSE
FFIC,Flushing Financial Corp.,NASDAQ
FNLC,First Bancorp Inc.,NASDAQ
FSFG,First Savings Financial Group Inc.,NASDAQ
FXNC,First National Corp.,NASDAQ
GFED,Guaranty Federal Bancshares,NASDAQ
GLOP,GasLog Partners LP,NYSE
GLT,P.H. Glatfelter Co.,NYSE
GT,Goodyear Tire & Rubber Company,NASDAQ
HAFC,Hanmi Financial Corp.,NASDAQ
HBCP,Home Bancorp Inc.,NASDAQ
HCKT,The Hackett Group Inc.,NASDAQ
HFBL,Home Federal Bancorp Inc. of Louisiana,NASDAQ
HNNA,Hennessy Advisors Inc.,NASDAQ
IBCP,Independent Bank Corp. MI,NASDAQ
IBTX,Independent Bank Group Inc.,NASDAQ
IDCC,Interdigital Inc,NASDAQ
IHC,Independence Holding Company,NYSE
IOSP,Innospec Inc.,NASDAQ
ISTR,Investar Holding Corp.,NASDAQ
JOUT,Johnson Outdoors Inc.,NASDAQ
KAR,KAR Auction Services Inc.,NYSE
KEQU,Kewaunee Scientific Corp.,NASDAQ
LAMR,Lamar Advertising Co.,NASDAQ
LOAN,Manhattan Bridge Capital Inc.,NASDAQ
LOGN,Logansport Financial Corp.,
LRCX,Lam Research Corp.,NASDAQ
LSI,Life Storage Inc.,NYSE
MC,Moelis & Company,NYSE
MCS,Marcus Corp.,NYSE
MFNC,Mackinac Financial Corp.,NASDAQ
MINI,Mobile Mini Inc.,NASDAQ
MNAT,Marquette National Corp.,
MPB,Mid Penn Bancorp,NASDAQ
MPW,Medical Properties Trust Inc.,NYSE
MS,Morgan Stanley,NYSE
MSCI,MSCI Inc.,NYSE
NATI,National Instruments Corp.,NASDAQ
NBTB,NBT Bancorp Inc.,NASDAQ
NEP,NextEra Energy Partners LP,NYSE
NLSN,Nielsen Holdings plc,NYSE
NRZ,New Residential Investment Corp.,NYSE
OC,Owens Corning Inc.,NYSE
OGS,ONE Gas Inc.,NYSE
OLBK,Old Line Bancshares Inc.,NASDAQ
OSK,Oshkosh Corp.,NYSE
OTTR,Otter Tail Corp.,NASDAQ
OVLY,Oak Valley Bancorp,NASDAQ
PBFX,PBF Logistics LP,NYSE
PFBC,Preferred Bank,NASDAQ
PKBK,Parke Bancorp Inc.,NASDAQ
PLCE,Children's Place Inc. (The),NASDAQ
PLD,Prologis Inc.,NYSE
PTBS,Potomac Bancshares Inc.,
PZZA,Papa John's International,NASDAQ
QTS,QTS Realty Trust Inc.,NYSE
RE,Everest Reinsurance Group Ltd.,NYSE
REG,Regency Centers Corp.,NASDAQ
REXR,Rexford Industrial Realty Inc.,NYSE
RMAX,RE/MAX Holdings Inc.,NYSE
SAFM,Sanderson Farms Inc.,NASDAQ
SFBC,Sound Financial Bancorp Inc.,NASDAQ
SFBS,ServisFirst Bancshares Inc.,NASDAQ
SHEN,Shenandoah Telecommunications,NASDAQ
SNV,Synovus Financial,NYSE
SNX,SYNNEX Corp.,NYSE
SSD,Simpsom Manufacturing Co.,NYSE
STAY,Extended Stay America Inc.,NASDAQ
STBA,S&T Bancorp Inc.,NASDAQ
SWKS,Skyworks Solutions Inc.,NASDAQ
TFSL,TFS Financial Corporation,NASDAQ
TTEK,Tetra Tech Inc.,NASDAQ
UBCP,United Bancorp Inc.,NASDAQ
UCBI,United Community Banks Inc.,NASDAQ
UCFC,United Community Financial Corp.,NASDAQ
VAC,Marriot Vacations Worldwide Corp.,NYSE
VMC,Vulcan Materials,NYSE
WDFN,Woodlands Financial Services Co.,
WEBK,Wellesley Bancorp Inc.,NASDAQ
WLKP,Westlake Chemical Partners LP,NYSE
WMS,Advanced Drainage Systems Inc.,NYSE
WSFS,WSFS Financial Corp.,NASDAQ
WSO,Watsco Inc.,NYSE
WTFC,Wintrust Financial Corp.,NASDAQ
AEE,Ameren Corp,NYSE
ALG,Alamo Group Inc,NYSE
ALX,Alexander's Inc.,NYSE
ARMK,Aramark Services Inc.,NYSE
BDL,Flanigan's Enterprises Inc.,AMEX
BFIN,BankFinancial Corp.,NASDAQ
BHLB,Berkshire Hills Bancorp Inc.,NYSE
BIG,Big Lots Inc.,NYSE
BLMN,Bloomin' Brands Inc.,NASDAQ
BWFG,Bankwell Financial Group Inc.,NASDAQ
C,Citigroup Inc,NYSE
CCI,Crown Castle International Corp,NYSE
CDK,CDK Global Inc,NASDAQ
CHCT,Community Healthcare Trust Inc.,NYSE
CSFL,CenterState Bank Corp.,NASDAQ
DG,Dollar General Corp.,NYSE
DHI,D.R. Horton Inc,NYSE
DHIL,Diamond Hill Investment Group Inc.,NASDAQ
DKS,Dicks Sporting Goods Inc.,NYSE
DLB,Dolby Laboratories Inc,NYSE
EFSC,Enterprise Financial Services Corp,NASDAQ
EQIX,Equinix Inc.,NASDAQ
EVA,Enviva Partners  LP,NYSE
FRAF,Franklin Financial Services Inc.,NASDAQ
FSV,FirstService Corp.,NASDAQ
FULT,Fulton Financial Corp.,NASDAQ
GBX,Greenbrier Companies Inc.,NYSE
GILD,Gilead Sciences Inc.,NASDAQ
GLPI,Gaming and Leisure Properties,NASDAQ
GSBC,Great Southern Bancorp Inc.,NASDAQ
GWB,Great Western Bancorp Inc.,NYSE
HLI,"Houlihan Lokey, Inc.",NYSE
HMLP,Hoegh LNG Partners LP,NYSE
INN,Summit Hotel Properties Inc.,NYSE
INTC,Intel Corp.,NASDAQ
KBAL,Kimball International Inc.,NASDAQ
KRG,Kite Realty Group Trust,NYSE
LAND,Gladstone Land Corp.,NASDAQ
LLY,Eli Lilly & Company,NYSE
LOGI,Logitech International,NASDAQ
MAS,Masco Corp,NYSE
MCBC,Macatawa Bank Corp.,NASDAQ
MFC,Manulife Financial Corporation,NYSE
MFSF,MutualFirst Financial Inc.,NASDAQ
MPX,Marine Products Corp.,NYSE
NASB,NASB Financial Inc.,
NEWM,New Media,NYSE
NHTC,Natural Health Trends Corp.,NASDAQ
NPO,Enpro Industries Inc.,NYSE
OCFC,OceanFirst Financial Corp,NASDAQ
ORRF,Orrstown Financial Services Inc.,NASDAQ
PEGI,Pattern Energy Group Inc.,NASDAQ
PSB,PS Business Parks Inc,NYSE
PUB,People's Utah Bancorp,NASDAQ
QSR,Restaurant Brands International Inc.,NYSE
RVSB,Riverview Bancorp Inc,NASDAQ
SAR,Saratoga Investment Corp.,NYSE
SGC,Superior Group of Companies Inc.,NASDAQ
SHLX,Shell Midstream Partners LP,NYSE
SIGI,Selective Insurance Group Inc.,NASDAQ
SRLP,Sprague Resources LP,NYSE
STBI,Sturgis Bancorp,
STZ,Constellation Brands Inc. A,NYSE
TGE,Tallgrass Energy LP,NYSE
TKR,Timken Company (The),NYSE
TTEC,TTEC Holdings Inc.,NASDAQ
USDP,USD Partners LP,NYSE
UTL,Unitil Corp.,NYSE
VALU,Value Line Inc.,NASDAQ
WU,Western Union Company,NYSE
WWD,Woodward Inc.,NASDAQ
AA,Alcoa Corporation,NYSE
AAL,"American Airlines Group, Inc.",NASDAQ
ADBE,Adobe Inc.,NASDAQ
AMD,"Advanced Micro Devices, Inc.",NASDAQ
AMZN,"Amazon.com, Inc.",NASDAQ
AXTA,Axalta Coating Systems Ltd.,NYSE
AYX,"Alteryx, Inc.",NYSE
BRK.B,Berkshire Hathaway Inc.,NYSE
BTI,British American Tobacco p.l.c.,NYSE
BSX,Boston Scientific Corporation,NYSE
CHTR,"Charter Communications, Inc.",NASDAQ
CRM,Salesforce.com Inc,NYSE
DE,Deere & Company,NYSE
DEO,Diageo plc,NYSE
DVA,DaVita Inc.,NYSE
FB,"Facebook, Inc.",NASDAQ
FTDR,"frontdoor, inc.",NASDAQ
GE,General Electric Company,NYSE
GM,General Motors Company,NYSE
GOOGL,Alphabet Inc.,NASDAQ
HAL,Halliburton Company,NYSE
ISRG,"Intuitive Surgical, Inc.",NASDAQ
KHC,The Kraft Heinz Company,NASDAQ
LBTYA,Liberty Global plc,NASDAQ
LBTYK,Liberty Global plc,NASDAQ
LILA,Liberty Latin America Ltd.,NASDAQ
LILAK,Liberty Latin America Ltd.,NASDAQ
LSXMA,Liberty Media Corporation,NASDAQ
LSXMK,Liberty Media Corporation,NASDAQ
MTB,M&T Bank Corporation,NYSE
MU,"Micron Technology, Inc.",NASDAQ
NFLX,"Netflix, Inc.",NASDAQ
NSC,Norfolk Souther Corporation,NYSE
PETQ,"PetIQ, Inc.",NASDAQ
PYPL,"PayPal Holdings, Inc.",NASDAQ
SHAK,"Shake Shack, Inc.",NYSE
SIRI,Sirius XM Holdings Inc.,NASDAQ
SPLK,Splunk Inc.,NASDAQ
STNE,StoneCo Ltd.,NASDAQ
STOR,STORE Capital Corporation,NYSE
SU,Suncor Energy  Inc.,NYSE
SYF,Synchrony Financial,NYSE
TEVA,Teva Pharmaceutical Industries Limited,NYSE
TMO,Thermo Fisher Scientific Inc,NYSE
TPR,"Tapestry, Inc.",NYSE
TSLA,"Tesla, Inc. ",NASDAQ
TWTR,"Twitter, Inc.",NYSE
UAL,"United Airlines Holdings, Inc.",NASDAQ
UL,Unilever PLC,NYSE
VRSN,"VeriSign, Inc.",NASDAQ
